Date,Open,High,Low,Close,Volume,Symbol,Currency
,,,,,BTC-USD,,INR
2015-05-14,15128.0894024967,15229.598593214178,14989.946645800956,15173.880627044127,24413700,BTC,INR
2015-05-15,15024.842980273592,15138.850829142553,15014.69746791519,15066.057793876795,16329400,BTC,INR
2015-05-16,15068.530798796506,15071.891995624,14919.585466496123,14973.989639671112,11089700,BTC,INR
2015-05-17,14964.921954965512,15092.68903817062,14964.921954965512,15015.141563869081,11134300,BTC,INR
2015-05-18,15026.452334776986,15046.942037361441,14745.635293739615,14788.008490382927,16780300,BTC,INR
2015-05-19,14851.215157702973,14922.209162672516,14773.465699797089,14781.75078098575,14241900,BTC,INR
2015-05-20,14791.10357568512,14969.255033541413,14788.041630959779,14926.8384368869,15499400,BTC,INR
2015-05-21,14889.268411636353,15030.89752960205,14877.7523021698,14973.761627197266,15108900,BTC,INR
2015-05-22,14972.533762366395,15331.893088823184,14955.927275540771,15292.382174216793,27003000,BTC,INR
2015-05-23,15288.43661663367,15335.456129258733,15186.953069841373,15198.469360208255,14605000,BTC,INR
2015-05-24,15205.086712690187,15396.091893139528,15194.588849957334,15330.87563204486,11508000,BTC,INR
2015-05-25,15294.769276730716,15300.736306920648,15022.426656941883,15052.454573964236,14423900,BTC,INR
2015-05-26,15072.9384297207,15145.282257788815,14983.176015964476,15073.700862663332,16425000,BTC,INR
2015-05-27,15166.471008566441,15266.977252632207,15142.800200305646,15180.417925327492,18837000,BTC,INR
2015-05-28,15154.553990039858,15190.770634119632,15115.909517966795,15164.199026499758,13829600,BTC,INR
2015-05-29,15150.587135984038,15159.842033784484,15045.53143404465,15132.651936795039,14805000,BTC,INR
2015-05-30,15132.396777032467,15132.461053919224,14810.336462055973,14893.244880939485,14098600,BTC,INR
2015-05-31,14879.84120226669,14887.309007836913,14650.518800386051,14691.877081443788,14730800,BTC,INR
2015-06-01,14674.130610976137,14768.459618756897,14104.522204058594,14208.411222834839,26090500,BTC,INR
2015-06-02,14178.28729745117,14402.321921488036,14148.073129528202,14363.32857180969,20459000,BTC,INR
2015-06-03,14370.80446773756,14476.993606428092,14255.830913539743,14379.58985464985,17752400,BTC,INR
2015-06-04,14462.728324131338,14514.55144366389,14352.674816807616,14369.971019986318,14728100,BTC,INR
2015-06-05,14346.080476187984,14462.17799231189,14283.679111092468,14397.152562801026,18056500,BTC,INR
2015-06-06,14400.545193905942,14446.241220002994,14360.48011511774,14439.841706004576,11131500,BTC,INR
2015-06-07,14438.369026756962,14476.64208537317,14249.950068748907,14264.606547627018,13318400,BTC,INR
2015-06-08,14211.210889156677,14631.084094078864,14208.66083720478,14568.915753894837,23378400,BTC,INR
2015-06-09,14620.947126302051,14775.513169933402,14581.986155149934,14653.575511954843,28353100,BTC,INR
2015-06-10,14664.381958547048,14714.780030292111,14601.304487477408,14652.086576171803,15904800,BTC,INR
2015-06-11,14600.719823532561,14692.08042735263,14595.1056750986,14654.949362749176,14416000,BTC,INR
2015-06-12,14700.890538366395,14787.417507416569,14675.803039524353,14718.617800588254,14017700,BTC,INR
2015-06-13,14714.650089113158,14889.49501486926,14669.211345589603,14873.495264731931,13305300,BTC,INR
2015-06-14,14876.055771620362,15030.677380384646,14848.023982820801,14946.51853841473,12165900,BTC,INR
2015-06-15,14960.483305837028,15243.385500384029,14960.483305837028,15178.46027018316,19912100,BTC,INR
2015-06-16,15165.272203337401,16124.579357162118,15124.086422052234,16070.327303688971,41612000,BTC,INR
2015-06-17,16098.32146162726,16485.338838495547,15819.3223032417,15999.54527083179,43858400,BTC,INR
